IDTransacao,Data,IDCliente,Genero,Idade,CategoriaProduto,Quantidade,PrecoPorUnidade,ValorTotal,Mes,EhFimDeSemana,FaixaEtaria
57,2023-03-02,CLIENTE0053,Masculino,51,Vestuário,1,548.15,551.23,3,0,MeiaIdade
58,2023-04-13,CLIENTE1118,Feminino,25,Vestuário,2,375.64,761.02,4,0,Jovem
59,2023-08-15,CLIENTE1349,Feminino,25,Vestuário,4,537.89,2153.52,8,0,Jovem
60,2023-01-26,CLIENTE0889,Feminino,57,Vestuário,2,110,211.27,1,0,MeiaIdade
61,2023-06-10,CLIENTE1280,Masculino,32,Beleza,2,28.82,52.59,6,1,Adulto
62,2023-12-27,CLIENTE1184,Masculino,55,Vestuário,1,162.69,154.22,12,0,MeiaIdade
63,2023-12-31,CLIENTE0653,Masculino,19,Beleza,2,56.98,110.77,12,1,Jovem
64,2023-08-29,CLIENTE1674,Masculino,53,Vestuário,2,558.21,1115.81,8,0,MeiaIdade
65,2023-05-28,CLIENTE1847,Masculino,21,Vestuário,2,328.27,656.55,5,1,Jovem
66,2023-04-15,CLIENTE1110,Feminino,23,Eletrônicos,1,136.9,131.28,4,1,Jovem
67,2023-10-29,CLIENTE0810,Feminino,59,Eletrônicos,1,154.97,151.84,10,1,MeiaIdade
68,2023-04-30,CLIENTE1060,Masculino,50,Vestuário,1,197.81,197.7,4,1,MeiaIdade
69,2023-08-14,CLIENTE1726,Masculino,47,Vestuário,1,371.22,375.75,8,0,MeiaIdade
70,2023-01-23,CLIENTE0530,Feminino,56,Vestuário,3,51.51,156.32,1,0,MeiaIdade
71,2023-05-14,CLIENTE0004,Feminino,68,Beleza,3,86.08,256.42,5,1,Senior
72,2023-10-11,CLIENTE1165,Feminino,44,Beleza,1,109,111.7,10,0,Adulto
73,2023-02-19,CLIENTE0182,Feminino,27,Vestuário,2,390.88,777.53,2,1,Adulto
74,2023-06-24,CLIENTE0390,Feminino,32,Eletrônicos,1,94.91,86.59,6,1,Adulto
75,2023-05-03,CLIENTE1751,Feminino,45,Beleza,2,123.86,241.88,5,0,Adulto
76,2023-03-28,CLIENTE0044,Masculino,50,Vestuário,4,577.03,2309.21,3,0,MeiaIdade
77,2023-03-07,CLIENTE1543,Feminino,50,Vestuário,2,407.02,809.39,3,0,MeiaIdade
78,2023-02-17,CLIENTE1124,Feminino,63,Vestuário,1,190.6,184.09,2,0,Senior
79,2023-11-15,CLIENTE1407,Feminino,46,Vestuário,2,203.51,402.18,11,0,MeiaIdade
80,2023-06-04,CLIENTE1414,Feminino,66,Eletrônicos,1,295.73,294.03,6,1,Senior
81,2023-03-27,CLIENTE0362,Masculino,30,Beleza,4,36.27,147.39,3,0,Adulto
82,2023-02-02,CLIENTE0181,Feminino,63,Vestuário,2,378.69,759.24,2,0,Senior
83,2023-11-28,CLIENTE0774,Feminino,36,Vestuário,1,543.67,535.67,11,0,Adulto
84,2023-11-21,CLIENTE0085,Masculino,19,Vestuário,3,311.33,929.24,11,0,Jovem
85,2023-04-03,CLIENTE1504,Masculino,31,Vestuário,3,152.56,461.07,4,0,Adulto
86,2023-08-17,CLIENTE1390,Masculino,37,Beleza,1,48.75,58.14,8,0,Adulto
87,2023-01-19,CLIENTE0123,Feminino,21,Beleza,2,50.47,109.7,1,0,Jovem
88,2023-06-25,CLIENTE1624,Feminino,57,Vestuário,3,549.12,1643.42,6,1,MeiaIdade
89,2023-11-23,CLIENTE0482,Feminino,64,Eletrônicos,1,72.45,63.06,11,0,Senior
90,2023-08-12,CLIENTE1809,Feminino,36,Vestuário,1,562.48,567.11,8,1,Adulto
91,2023-07-14,CLIENTE1310,Masculino,50,Beleza,2,85.83,170.85,7,0,MeiaIdade
92,2023-07-19,CLIENTE0562,Feminino,19,Vestuário,2,284.31,575.55,7,0,Jovem
93,2023-05-21,CLIENTE0895,Feminino,31,Vestuário,2,108.26,221,5,1,Adulto
94,2023-08-12,CLIENTE0842,Masculino,68,Vestuário,1,473.26,474.69,8,1,Senior
95,2023-03-17,CLIENTE1674,Masculino,59,Beleza,4,31.62,122.73,3,0,MeiaIdade
96,2023-05-23,CLIENTE1741,Masculino,47,Vestuário,2,281.62,566.25,5,0,MeiaIdade
97,2023-06-23,CLIENTE0644,Feminino,47,Beleza,1,142.41,145.26,6,0,MeiaIdade
98,2023-09-05,CLIENTE1978,Feminino,66,Eletrônicos,3,130.42,389.08,9,0,Senior
99,2023-04-27,CLIENTE1950,Masculino,45,Beleza,2,109.52,217.54,4,0,Adulto
100,2023-01-18,CLIENTE0927,Masculino,44,Vestuário,1,569.03,572.24,1,0,Adulto
101,2023-05-22,CLIENTE1154,Masculino,26,Vestuário,1,477.18,484.41,5,0,Adulto
102,2023-01-19,CLIENTE1690,Feminino,50,Eletrônicos,3,288.51,862.4,1,0,MeiaIdade
103,2023-04-05,CLIENTE0162,Feminino,23,Eletrônicos,2,347.72,689.33,4,0,Jovem
104,2023-03-04,CLIENTE0530,Feminino,31,Eletrônicos,5,48.16,247.22,3,1,Adulto
105,2023-03-13,CLIENTE0129,Masculino,41,Beleza,1,51.97,44.89,3,0,Adulto
106,2023-05-17,CLIENTE0916,Masculino,35,Vestuário,3,70.67,214.23,5,0,Adulto
107,2023-03-05,CLIENTE0041,Masculino,52,Vestuário,1,268.31,273.19,3,1,MeiaIdade
108,2023-02-23,CLIENTE1397,Masculino,18,Vestuário,1,190.7,197.74,2,0,Jovem
109,2023-11-14,CLIENTE1126,Masculino,40,Vestuário,2,131.21,266.45,11,0,Adulto
110,2023-09-03,CLIENTE0869,Feminino,53,Vestuário,1,485.6,493.75,9,1,MeiaIdade
111,2023-10-17,CLIENTE0313,Masculino,29,Beleza,2,96.42,187.78,10,0,Adulto
112,2023-12-14,CLIENTE1973,Masculino,18,Beleza,2,118.25,233.98,12,0,Jovem
113,2023-07-14,CLIENTE0103,Masculino,19,Vestuário,1,70.74,63.22,7,0,Jovem
114,2023-09-11,CLIENTE1793,Feminino,55,Beleza,1,110.78,103.51,9,0,MeiaIdade
115,2023-05-22,CLIENTE1107,Masculino,55,Vestuário,5,103.45,523.12,5,0,MeiaIdade
116,2023-02-20,CLIENTE1940,Masculino,47,Eletrônicos,1,241.46,243,2,0,MeiaIdade
117,2023-02-27,CLIENTE1510,Feminino,28,Beleza,1,58.41,61.15,2,0,Adulto
118,2023-06-19,CLIENTE0164,Feminino,34,Vestuário,3,486.46,1467.58,6,0,Adulto
119,2023-02-13,CLIENTE1441,Masculino,18,Beleza,1,146.47,138.38,2,0,Jovem
120,2023-04-19,CLIENTE0316,Masculino,22,Eletrônicos,2,31.6,64.78,4,0,Jovem
121,2023-11-04,CLIENTE0815,Feminino,67,Vestuário,4,437.02,1757.74,11,1,Senior
122,2023-01-18,CLIENTE1451,Feminino,67,Vestuário,1,377.54,373.3,1,0,Senior
123,2023-08-01,CLIENTE1669,Masculino,39,Vestuário,2,308.29,617.61,8,0,Adulto
124,2023-04-18,CLIENTE1353,Masculino,37,Beleza,2,59.38,111.14,4,0,Adulto
125,2023-01-18,CLIENTE0258,Masculino,65,Vestuário,1,337.68,337.68,1,0,Senior
126,2023-04-30,CLIENTE0054,Feminino,62,Beleza,2,121.89,249.21,4,1,Senior
127,2023-10-05,CLIENTE1205,Masculino,20,Vestuário,2,323.17,648.06,10,0,Jovem
128,2023-06-24,CLIENTE0266,Masculino,41,Eletrônicos,1,69.88,70.9,6,1,Adulto
129,2023-05-14,CLIENTE0197,Feminino,54,Vestuário,1,296.82,302.91,5,1,MeiaIdade
130,2023-11-03,CLIENTE1873,Masculino,58,Beleza,1,42.74,32.95,11,0,MeiaIdade
131,2023-01-11,CLIENTE0202,Masculino,20,Vestuário,2,592.83,1178.86,1,0,Jovem
132,2023-12-04,CLIENTE1828,Masculino,19,Vestuário,3,441.79,1327.26,12,0,Jovem
133,2023-01-29,CLIENTE0115,Masculino,28,Beleza,2,83.52,167.17,1,1,Adulto
134,2023-01-14,CLIENTE1290,Masculino,66,Eletrônicos,5,87.01,442.86,1,1,Senior
135,2023-08-07,CLIENTE0318,Masculino,69,Vestuário,1,280.11,271.91,8,0,Senior
136,2023-05-31,CLIENTE1625,Masculino,68,Vestuário,1,405.39,402.61,5,0,Senior
137,2023-10-21,CLIENTE0929,Masculino,68,Beleza,4,38.23,147.58,10,1,Senior
138,2023-08-26,CLIENTE1090,Feminino,70,Beleza,1,79.92,71.63,8,1,Senior
139,2023-09-20,CLIENTE1182,Masculino,57,Eletrônicos,1,311.79,305.92,9,0,MeiaIdade
140,2023-03-01,CLIENTE0317,Masculino,58,Vestuário,4,283.84,1141.21,3,0,MeiaIdade
141,2023-03-26,CLIENTE0597,Feminino,49,Vestuário,5,264.82,1318.22,3,1,MeiaIdade
142,2023-07-25,CLIENTE1928,Feminino,70,Beleza,2,122.83,236.48,7,0,Senior
143,2023-01-16,CLIENTE0208,Feminino,55,Vestuário,2,384.32,769.12,1,0,MeiaIdade
144,2023-08-24,CLIENTE1576,Masculino,34,Beleza,2,57.03,119.68,8,0,Adulto
145,2023-07-02,CLIENTE1720,Masculino,23,Vestuário,2,525.02,1058.65,7,1,Jovem
146,2023-03-27,CLIENTE0829,Masculino,60,Eletrônicos,1,96.92,88.27,3,0,MeiaIdade
147,2023-11-16,CLIENTE1605,Feminino,37,Beleza,1,20.43,11.37,11,0,Adulto
148,2023-07-26,CLIENTE0210,Masculino,43,Vestuário,2,177.41,364.24,7,0,Adulto
149,2023-08-27,CLIENTE0127,Feminino,22,Vestuário,2,463.17,924.9,8,1,Jovem
150,2023-10-06,CLIENTE0877,Feminino,24,Eletrônicos,5,100.57,504.55,10,0,Jovem
151,2023-03-20,CLIENTE1943,Masculino,56,Eletrônicos,1,201.01,210.47,3,0,MeiaIdade
152,2023-10-06,CLIENTE1153,Feminino,34,Eletrônicos,5,195.66,973.78,10,0,Adulto
153,2023-10-09,CLIENTE0927,Masculino,44,Beleza,1,49.77,53.23,10,0,Adulto
154,2023-04-14,CLIENTE0128,Feminino,27,Vestuário,4,202.96,818.97,4,0,Adulto
155,2023-04-23,CLIENTE1457,Masculino,35,Eletrônicos,1,326.25,335.93,4,1,Adulto
156,2023-05-26,CLIENTE1237,Masculino,66,Vestuário,5,131.95,654.21,5,0,Senior
157,2023-02-16,CLIENTE0816,Feminino,50,Vestuário,3,193.8,588.42,2,0,MeiaIdade
158,2023-03-10,CLIENTE1486,Feminino,42,Vestuário,5,271.07,1354.72,3,0,Adulto
159,2023-01-16,CLIENTE1687,Feminino,68,Vestuário,3,539.15,1611.9,1,0,Senior
160,2023-05-29,CLIENTE0420,Masculino,45,Vestuário,3,85.36,252.26,5,0,Adulto
161,2023-11-20,CLIENTE1547,Masculino,30,Beleza,5,41.1,206.44,11,0,Adulto
162,2023-07-15,CLIENTE1632,Masculino,48,Beleza,1,75.79,85.26,7,1,MeiaIdade
163,2023-01-21,CLIENTE1034,Masculino,43,Vestuário,5,100.26,495.56,1,1,Adulto
164,2023-07-07,CLIENTE0431,Feminino,36,Beleza,1,63.38,55.61,7,0,Adulto
165,2023-12-04,CLIENTE1706,Masculino,42,Beleza,3,64.89,187.74,12,0,Adulto
166,2023-10-27,CLIENTE1432,Feminino,67,Vestuário,1,83.55,84.73,10,0,Senior
167,2023-08-17,CLIENTE1461,Feminino,30,Vestuário,1,332.03,337.89,8,0,Adulto
168,2023-02-12,CLIENTE0492,Feminino,38,Eletrônicos,3,129.44,385.59,2,1,Adulto
169,2023-04-29,CLIENTE1414,Feminino,49,Vestuário,2,471.3,950.23,4,1,MeiaIdade
170,2023-05-07,CLIENTE1295,Feminino,61,Beleza,3,36.89,107.63,5,1,Senior
171,2023-11-21,CLIENTE1705,Masculino,63,Eletrônicos,2,319.78,631.38,11,0,Senior
172,2023-11-05,CLIENTE0869,Feminino,33,Vestuário,2,453.99,910.02,11,1,Adulto
173,2023-04-30,CLIENTE1159,Feminino,38,Beleza,1,146.27,136.56,4,1,Adulto
174,2023-03-29,CLIENTE0774,Feminino,30,Eletrônicos,3,271.8,811.6,3,0,Adulto
175,2023-09-21,CLIENTE0307,Feminino,65,Vestuário,1,518.64,508.8,9,0,Senior
176,2023-06-19,CLIENTE0411,Feminino,68,Beleza,1,38.18,37.64,6,0,Senior
177,2023-12-10,CLIENTE0088,Masculino,26,Beleza,1,145.55,144,12,1,Adulto
178,2023-07-18,CLIENTE0169,Masculino,19,Vestuário,1,67.41,57.82,7,0,Jovem
179,2023-11-29,CLIENTE1385,Masculino,26,Vestuário,2,592.53,1185.06,11,0,Adulto
180,2023-06-24,CLIENTE0296,Masculino,40,Vestuário,2,210.82,414.77,6,1,Adulto
181,2023-08-07,CLIENTE1141,Masculino,19,Beleza,4,93.57,375.99,8,0,Jovem
182,2023-07-10,CLIENTE1080,Masculino,68,Beleza,1,43.4,41.37,7,0,Senior
183,2023-01-06,CLIENTE1510,Feminino,52,Eletrônicos,2,349.48,699.73,1,0,MeiaIdade
184,2023-05-14,CLIENTE0215,Feminino,46,Vestuário,1,366.98,370.52,5,1,MeiaIdade
185,2023-11-29,CLIENTE0375,Masculino,68,Eletrônicos,3,122.65,365.79,11,0,Senior
186,2023-10-15,CLIENTE0260,Masculino,28,Vestuário,2,415.38,837.28,10,1,Adulto
187,2023-10-26,CLIENTE1268,Masculino,20,Vestuário,1,170.2,176.67,10,0,Jovem
188,2023-08-22,CLIENTE1327,Masculino,65,Vestuário,1,178.89,176.22,8,0,Senior
189,2023-02-02,CLIENTE0268,Feminino,22,Vestuário,4,345.53,1379.81,2,0,Jovem
190,2023-02-24,CLIENTE1686,Feminino,66,Vestuário,3,55.06,158.79,2,0,Senior
191,2023-06-08,CLIENTE0843,Feminino,67,Beleza,5,146.48,732.11,6,0,Senior
192,2023-08-03,CLIENTE0344,Masculino,51,Beleza,2,20.64,46.96,8,0,MeiaIdade
193,2023-12-16,CLIENTE1358,Feminino,22,Vestuário,1,39.99,40.27,12,1,Jovem
194,2023-02-12,CLIENTE0815,Feminino,47,Beleza,1,24.95,17.01,2,1,MeiaIdade
195,2023-01-04,CLIENTE1303,Feminino,68,Vestuário,1,106.82,111.61,1,0,Senior
196,2023-02-24,CLIENTE0123,Feminino,30,Vestuário,5,203.3,1013.74,2,0,Adulto
197,2023-11-21,CLIENTE0253,Masculino,47,Eletrônicos,1,339.36,345.76,11,0,MeiaIdade
198,2023-05-05,CLIENTE1839,Feminino,45,Eletrônicos,1,168.73,170.76,5,0,Adulto
199,2023-02-04,CLIENTE1822,Masculino,51,Vestuário,4,318.14,1267.35,2,1,MeiaIdade
200,2023-09-24,CLIENTE0981,Masculino,47,Vestuário,1,68.21,63.6,9,1,MeiaIdade
201,2023-02-09,CLIENTE1214,Masculino,59,Vestuário,1,97.99,97.33,2,0,MeiaIdade
202,2023-07-04,CLIENTE1818,Feminino,18,Beleza,2,49.97,92.77,7,0,Jovem
203,2023-11-29,CLIENTE1720,Masculino,64,Vestuário,1,287.41,290.51,11,0,Senior
204,2023-08-03,CLIENTE0025,Feminino,49,Beleza,2,102.7,212.92,8,0,MeiaIdade
205,2023-01-28,CLIENTE0052,Feminino,31,Beleza,1,57.82,56.19,1,1,Adulto
206,2023-12-14,CLIENTE1756,Feminino,66,Beleza,1,79.95,76.27,12,0,Senior
207,2023-09-18,CLIENTE1361,Masculino,64,Beleza,2,132.16,263.27,9,0,Senior
208,2023-05-12,CLIENTE1276,Feminino,18,Beleza,2,106.36,213.2,5,0,Jovem
209,2023-11-16,CLIENTE0180,Feminino,43,Beleza,2,64.5,127.28,11,0,Adulto
210,2023-07-07,CLIENTE0425,Feminino,33,Vestuário,1,176.28,169.06,7,0,Adulto
211,2023-01-04,CLIENTE0295,Masculino,50,Vestuário,1,586.49,583.66,1,0,MeiaIdade
212,2023-11-06,CLIENTE1864,Masculino,45,Vestuário,1,556.55,550.87,11,0,Adulto
213,2023-09-28,CLIENTE0925,Feminino,22,Beleza,1,105.63,101.25,9,0,Jovem
214,2023-04-27,CLIENTE0139,Feminino,37,Beleza,1,44.95,48.78,4,0,Adulto
215,2023-09-24,CLIENTE0597,Feminino,65,Beleza,2,25.61,44.06,9,1,Senior
216,2023-11-21,CLIENTE1881,Masculino,44,Vestuário,2,487.68,968.25,11,0,Adulto
217,2023-12-31,CLIENTE1165,Masculino,60,Eletrônicos,1,203.8,196.03,12,1,MeiaIdade
218,2023-10-03,CLIENTE0311,Feminino,36,Eletrônicos,2,111.8,215.62,10,0,Adulto
219,2023-09-08,CLIENTE1029,Masculino,18,Vestuário,3,318.34,948.94,9,0,Jovem
220,2023-01-10,CLIENTE1179,Masculino,42,Beleza,2,129.85,258.14,1,0,Adulto
221,2023-11-01,CLIENTE0430,Feminino,67,Vestuário,4,205.03,813.95,11,0,Senior
222,2023-02-01,CLIENTE1874,Feminino,39,Eletrônicos,2,201.36,402.78,2,0,Adulto
223,2023-05-09,CLIENTE0485,Masculino,47,Beleza,3,34.2,103.22,5,0,MeiaIdade
224,2023-11-11,CLIENTE1059,Masculino,18,Vestuário,4,148.4,584.16,11,1,Jovem
225,2023-01-01,CLIENTE1000,Feminino,40,Beleza,1,117.21,119.9,1,1,Adulto
226,2023-07-18,CLIENTE1900,Masculino,44,Vestuário,2,161.58,323.35,7,0,Adulto
227,2023-07-24,CLIENTE0684,Feminino,23,Beleza,2,74.59,149.42,7,0,Jovem
228,2023-07-18,CLIENTE0232,Feminino,40,Beleza,1,70.1,72.55,7,0,Adulto
229,2023-09-28,CLIENTE0127,Feminino,42,Vestuário,3,545.11,1644.32,9,0,Adulto
230,2023-07-03,CLIENTE1017,Feminino,63,Vestuário,1,333.42,337.17,7,0,Senior
231,2023-04-28,CLIENTE0456,Feminino,44,Vestuário,1,201.85,201.74,4,0,Adulto
232,2023-11-12,CLIENTE0314,Feminino,65,Vestuário,4,212.95,842.78,11,1,Senior
233,2023-07-24,CLIENTE1124,Feminino,39,Vestuário,4,283.99,1142.23,7,0,Adulto
234,2023-11-01,CLIENTE1676,Feminino,67,Vestuário,1,506.86,515.74,11,0,Senior
235,2023-12-31,CLIENTE1958,Masculino,21,Beleza,2,20.57,50.68,12,1,Jovem
236,2023-04-07,CLIENTE0630,Masculino,30,Vestuário,3,520.62,1561.9,4,0,Adulto
237,2023-02-06,CLIENTE1392,Feminino,27,Vestuário,1,208.61,214.55,2,0,Adulto
238,2023-10-08,CLIENTE0316,Masculino,34,Vestuário,1,238.03,245.2,10,1,Adulto
239,2023-05-01,CLIENTE0246,Masculino,30,Vestuário,4,51.13,200.17,5,0,Adulto
240,2023-10-02,CLIENTE1756,Feminino,31,Beleza,3,79.45,239.32,10,0,Adulto
241,2023-11-28,CLIENTE1361,Feminino,22,Beleza,4,91.98,372.08,11,0,Jovem
242,2023-11-14,CLIENTE1306,Masculino,30,Vestuário,2,245.35,495.48,11,0,Adulto
243,2023-12-03,CLIENTE0528,Feminino,56,Eletrônicos,2,341.9,680.92,12,1,MeiaIdade
244,2023-07-15,CLIENTE0796,Feminino,52,Vestuário,2,246.93,495.07,7,1,MeiaIdade
245,2023-09-11,CLIENTE1688,Masculino,24,Vestuário,2,268.68,541.76,9,0,Jovem
246,2023-11-26,CLIENTE0815,Feminino,64,Beleza,2,54.33,99.41,11,1,Senior
247,2023-01-06,CLIENTE1925,Feminino,60,Vestuário,2,290.68,573.51,1,0,MeiaIdade
248,2023-11-15,CLIENTE0194,Feminino,64,Beleza,1,49.92,45.77,11,0,Senior
249,2023-12-08,CLIENTE0566,Feminino,39,Vestuário,2,517.95,1036.04,12,0,Adulto
250,2023-04-07,CLIENTE1424,Masculino,64,Vestuário,1,446.6,438.64,4,0,Senior
251,2023-01-06,CLIENTE0165,Feminino,65,Vestuário,3,71.53,216.12,1,0,Senior
252,2023-01-02,CLIENTE0535,Feminino,26,Eletrônicos,1,190.86,193.45,1,0,Adulto
253,2023-03-11,CLIENTE1928,Feminino,62,Vestuário,2,126.48,253.41,3,1,Senior
254,2023-10-16,CLIENTE1481,Masculino,29,Vestuário,1,76.84,74.8,10,0,Adulto
255,2023-10-05,CLIENTE1023,Feminino,55,Beleza,1,71.44,71.99,10,0,MeiaIdade
256,2023-01-12,CLIENTE1009,Masculino,19,Beleza,2,104.28,211.22,1,0,Jovem
257,2023-08-02,CLIENTE1124,Feminino,36,Vestuário,2,282.73,563.78,8,0,Adulto
258,2023-12-04,CLIENTE1888,Masculino,36,Eletrônicos,2,250.2,506.71,12,0,Adulto
259,2023-08-19,CLIENTE1271,Masculino,62,Vestuário,1,316.06,322.72,8,1,Senior
260,2023-05-12,CLIENTE1306,Masculino,54,Beleza,1,124.12,130.79,5,0,MeiaIdade
261,2023-08-05,CLIENTE1067,Masculino,35,Eletrônicos,5,242.55,1218.28,8,1,Adulto
262,2023-07-15,CLIENTE1234,Feminino,27,Beleza,2,51.48,103.01,7,1,Adulto
263,2023-06-18,CLIENTE0036,Feminino,27,Beleza,1,49.09,53.77,6,1,Adulto
264,2023-07-15,CLIENTE1327,Masculino,27,Beleza,4,81.56,328.8,7,1,Adulto
265,2023-08-17,CLIENTE0917,Feminino,56,Vestuário,2,304.59,614.43,8,0,MeiaIdade
266,2023-01-03,CLIENTE0292,Feminino,23,Beleza,1,137.12,144.66,1,0,Jovem
267,2023-05-08,CLIENTE1518,Masculino,47,Eletrônicos,2,30.65,68.25,5,0,MeiaIdade
268,2023-08-14,CLIENTE1532,Feminino,41,Eletrônicos,2,139.47,272.08,8,0,Adulto
269,2023-02-01,CLIENTE0562,Masculino,48,Beleza,2,111.84,225.28,2,0,MeiaIdade
270,2023-02-25,CLIENTE1887,Masculino,55,Vestuário,4,49.94,190.34,2,1,MeiaIdade
271,2023-11-22,CLIENTE1340,Feminino,35,Beleza,2,120.49,242.27,11,0,Adulto
272,2023-06-18,CLIENTE1527,Masculino,32,Eletrônicos,1,220.47,223.37,6,1,Adulto
273,2023-03-17,CLIENTE1519,Feminino,35,Vestuário,1,539.35,535.19,3,0,Adulto
